id,slug,name,brand,model,trim
9e68513f-54fb-43e1-8200-5658a3bb20fe,lexus-is350-f-sport-xe30,"IS350 F Sport","Lexus","XE30 IS","350 F Sport"
7e65a6f9-25b1-45e6-92a6-3702f2eade99,lexus-lc-500,"LC 500","Lexus","LC","500"
61c51407-64ef-4130-af41-8d1c9d4e04d3,lexus-rc-f,"RC F","Lexus","RC F","Standard"
58b8bfeb-5a83-454f-a999-ccb3dc02e953,lotus-elise-s2,"Elise S2","Lotus","S2 Elise","Standard"
fa61c099-f961-4446-a0cd-921b76228c42,lotus-emira,"Emira","Lotus","Emira","Standard"
c3a2e5e5-e934-4a2c-9a43-5c3616bc9a57,lotus-evora-gt,"Evora GT","Lotus","Evora","GT"
5f794221-2151-48d0-8653-fc81a520440f,lotus-evora-s,"Evora S","Lotus","Evora","S"
a02177c2-e669-4a6f-98b4-bccbeb85f69b,lotus-exige-s,"Exige S","Lotus","Exige","S"
e4904e5d-0a5f-489d-9554-20a58d9203fe,maserati-granturismo,"GranTurismo","Maserati","GranTurismo","Standard"
2c3599c2-b457-4ad7-b47c-80d80cabbb78,maserati-mc20-2021,"MC20","Maserati","MC20","Standard"
3523cbe1-0872-4789-8e34-8b900ee1c583,mazda-3-25-turbo-2021,"3 2.5 Turbo","Mazda","3","2.5 Turbo"
f1f3cfa7-5ac3-4443-9f6e-c9c9a3769dd1,mazda-6-2.5-turbo-gj,"6 2.5 Turbo","Mazda","GJ 6","2.5 Turbo"
e0bba528-d064-467c-88c1-a470dc944f55,mazda-mazdaspeed3-bl,"Mazdaspeed3","Mazda","BL Mazdaspeed3","Standard"
f252d03a-ee4a-4312-97ca-fce3a3bdba3b,mazda-mazdaspeed6-gy,"Mazdaspeed6","Mazda","GY Mazdaspeed6","Standard"
7ab22b84-406a-4d92-a937-4bae7024d2a9,mazda-mx5-miata-na,"MX-5 Miata NA","Mazda","NA MX-5 Miata","Standard"
e1691df0-d7a8-4915-b64d-e945d3162488,mazda-mx5-miata-nb,"MX-5 Miata NB","Mazda","NB MX-5 Miata","Standard"
c546aad3-5878-48ab-9464-51691377be3f,mazda-mx5-miata-nc,"MX-5 Miata NC","Mazda","NC MX-5 Miata","Standard"
f794e86d-7a3a-48b1-98c6-454a77fe4528,mazda-mx5-miata-nd,"MX-5 Miata ND","Mazda","ND MX-5 Miata","Standard"
e0e5b12b-acfe-4620-bdf7-fd852c0add1d,mazda-rx7-fd3s,"RX-7 FD3S","Mazda","FD3S RX-7","Standard"
07bee47e-171a-49d3-85c7-e59d04689f29,mazda-rx-8-se3p,"RX-8","Mazda","RX-8","Standard"
9b0c97f1-79ff-438f-a893-7754b39a0f6e,mclaren-570s-2015,"570S","McLaren","570S","Standard"
24939d41-fec4-4a07-94c0-879454c14f41,mclaren-600lt-2018-2020,"600LT","McLaren","600LT","Standard"
af8108e3-e400-46ec-acf2-77f05abbc6a8,mclaren-650s-mp4-12c-successor,"650S","McLaren","650S","Standard"
b7aafb6d-bd59-4826-84a6-0b20ec264351,mclaren-720s,"720S","McLaren","720S","Standard"
8cee39b1-5b22-4bb8-b478-01a608a92d87,mclaren-765lt-2020-2022,"765LT","McLaren","765LT","Standard"
1e471f37-acce-48e7-824f-380e499028df,mclaren-artura-1st-gen,"Artura","McLaren","Artura","Standard"
71875e74-ceec-4ab2-b1ed-6fb3f1baea58,mclaren-mp4-12c-first-generation,"MP4-12C","McLaren","MP4-12C","Standard"
107ed91a-550a-4179-abbd-d92ac4379f63,mercedes-amg-c63-w205,"C63 W205","Mercedes-AMG","W205 C63","Standard"
5025cbe4-26f0-4dc7-aeb5-2e702ab370d5,mercedes-amg-cla-45-c117,"CLA 45","Mercedes-AMG","C117 CLA","45"
7276cba3-ea48-4907-a893-2000b5aacc9b,mercedes-amg-cla-45-s-c118,"CLA 45 S","Mercedes-AMG","C118 CLA","45 S"
575fa8fb-d1a1-4718-a40d-85d67eb3d5d9,mercedes-amg-e63s-w213,"E63 S W213","Mercedes-AMG","W213 E63","S"
cc5a22a1-7627-494c-9795-aa7ca529aa5d,mercedes-amg-e63-w212,"E63 W212","Mercedes-AMG","W212 E63","Standard"
f085096c-7e58-4e61-9c1a-7ae678e739e4,mercedes-amg-gt,"GT","Mercedes-AMG","GT","Standard"
80ede5f5-16b6-40b3-a70e-0c443381b832,mercedes-amg-gt-black-series-c190,"GT Black Series","Mercedes-AMG","C190 GT","Black Series"
819130a7-9816-409a-b9a3-7cb51db0bdab,mercedes-amg-gt-r-c190,"GT R","Mercedes-AMG","C190 GT","R"
3fe6d0e8-4441-4524-b400-60a864b22889,mercedes-c63-amg-w204,"Mercedes C63 AMG W204","Mercedes-AMG","W204 C63 AMG","Standard"
65b07bc7-e8bb-494a-87df-b80e864407ac,mercedes-amg-sls-c197,"SLS AMG","Mercedes-AMG","C197 SLS AMG","Standard"
a4b4e596-9bef-4d34-94b6-d66d984136cf,mini-cooper-s-r53,"Cooper S R53","MINI","R53 Cooper","S"
